@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
400,'2020/01/11 13:40:28:341',1,193.1875,283.177063,1
401,'2020/01/11 13:40:28:351',1,192.75,281.661438,1
402,'2020/01/11 13:40:28:361',1,192.3125,280.145813,1
403,'2020/01/11 13:40:28:372',1,192.3125,278.630188,1
404,'2020/01/11 13:40:28:382',1,191.875,277.114563,1
405,'2020/01/11 13:40:28:392',1,191.875,275.598938,1
406,'2020/01/11 13:40:28:403',1,191.4375,274.083313,1
407,'2020/01/11 13:40:28:413',1,523.5,272.567688,1
408,'2020/01/11 13:40:28:423',1,190.5625,271.557312,1
409,'2020/01/11 13:40:28:434',1,191,270.546875,1
410,'2020/01/11 13:40:28:444',1,191,269.03125,1
411,'2020/01/11 13:40:28:455',1,191,267.515625,1
412,'2020/01/11 13:40:28:465',1,192.3125,264.989594,1
413,'2020/01/11 13:40:28:475',1,193.1875,263.473969,1
414,'2020/01/11 13:40:28:486',1,194.5,262.463531,1
415,'2020/01/11 13:40:28:496',1,194.9375,260.947906,1
416,'2020/01/11 13:40:28:507',1,195.8125,259.432281,1
417,'2020/01/11 13:40:28:517',1,197.5625,258.927094,1
418,'2020/01/11 13:40:28:527',1,198,257.916656,1
419,'2020/01/11 13:40:28:538',1,198,257.916656,1
420,'2020/01/11 13:40:28:548',1,523.0625,257.411469,1
421,'2020/01/11 13:40:28:558',1,201.0625,257.411469,1
422,'2020/01/11 13:40:28:569',1,201.9375,256.90625,1
423,'2020/01/11 13:40:28:579',1,203.25,255.895844,1
424,'2020/01/11 13:40:28:589',1,205,253.875,1
