@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
15251,'2020/01/11 01:54:57:118',7,452.625,125.552078,2
15252,'2020/01/11 01:54:57:137',7,452.625,125.046875,2
15253,'2020/01/11 01:54:57:139',7,452.625,125.046875,2
15254,'2020/01/11 01:54:57:149',7,453.0625,125.552078,2
15255,'2020/01/11 01:54:57:159',7,453.5,127.067703,2
15256,'2020/01/11 01:54:57:170',7,453.9375,128.078125,2
15257,'2020/01/11 01:54:57:180',7,453.5,128.583328,2
15258,'2020/01/11 01:54:57:191',7,453.0625,129.088547,2
15259,'2020/01/11 01:54:57:201',7,523.0625,72,2
15260,'2020/01/11 01:54:57:212',7,452.1875,130.098953,2
15261,'2020/01/11 01:54:57:222',7,452.1875,130.098953,2
15262,'2020/01/11 01:54:57:233',7,452.1875,129.59375,2
15263,'2020/01/11 01:54:57:243',7,452.625,130.098953,2
15264,'2020/01/11 01:54:57:253',7,453.5,130.604172,2
15265,'2020/01/11 01:54:57:264',7,453.5,130.604172,2
15266,'2020/01/11 01:54:57:274',7,453.9375,131.109375,2
15267,'2020/01/11 01:54:57:285',7,454.375,131.614578,2
15268,'2020/01/11 01:54:57:295',7,454.375,132.119797,2
15269,'2020/01/11 01:54:57:306',7,454.375,132.119797,2
15270,'2020/01/11 01:54:57:316',7,454.375,133.130203,2
15271,'2020/01/11 01:54:57:326',7,454.375,133.635422,2
15272,'2020/01/11 01:54:57:337',7,454.375,134.645828,2
15273,'2020/01/11 01:54:57:347',7,454.8125,135.65625,2
15274,'2020/01/11 01:54:57:358',7,455.25,136.161453,2
15275,'2020/01/11 01:54:57:368',7,455.6875,137.677078,2
15276,'2020/01/11 01:54:57:379',7,456.125,139.192703,2
15277,'2020/01/11 01:54:57:389',7,457.4375,140.203125,2
15278,'2020/01/11 01:54:57:400',7,459.1875,140.708328,2
15279,'2020/01/11 01:54:57:410',7,459.625,141.213547,2
15280,'2020/01/11 01:54:57:420',7,461.8125,142.729172,2
15281,'2020/01/11 01:54:57:431',7,462.6875,143.739578,2
15282,'2020/01/11 01:54:57:441',7,464.875,144.244797,2
15283,'2020/01/11 01:54:57:452',7,465.75,144.244797,2
15284,'2020/01/11 01:54:57:462',7,467.0625,144.75,2
15285,'2020/01/11 01:54:57:473',7,469.25,145.255203,2
15286,'2020/01/11 01:54:57:483',7,470.5625,146.265625,2
15287,'2020/01/11 01:54:57:494',7,472.3125,147.78125,2
15288,'2020/01/11 01:54:57:504',7,474.5,148.791672,2
15289,'2020/01/11 01:54:57:515',7,477.125,149.296875,2
15290,'2020/01/11 01:54:57:525',7,479.3125,150.307297,2
15291,'2020/01/11 01:54:57:536',7,481.0625,151.317703,2
15292,'2020/01/11 01:54:57:546',7,482.8125,152.328125,2
15293,'2020/01/11 01:54:57:557',7,484.5625,153.338547,2
15294,'2020/01/11 01:54:57:568',7,485.4375,153.84375,2
15295,'2020/01/11 01:54:57:578',7,523.9375,72,2
15296,'2020/01/11 01:54:57:588',7,485.875,154.854172,2
15297,'2020/01/11 01:54:57:599',7,486.3125,155.864578,2
15298,'2020/01/11 01:54:57:617',7,523.5,72,2
15299,'2020/01/11 01:54:57:627',7,486.75,157.885422,2
15300,'2020/01/11 01:54:57:637',7,486.3125,158.895828,2
15301,'2020/01/11 01:54:57:648',7,523.0625,72,2
15302,'2020/01/11 01:54:57:658',7,523.5,72,2
15303,'2020/01/11 01:54:57:668',7,485.875,159.401047,2
15304,'2020/01/11 01:54:57:679',7,485.4375,158.895828,2
15305,'2020/01/11 01:54:57:689',7,484.5625,158.390625,2
15306,'2020/01/11 01:54:57:699',7,483.6875,158.895828,2
15307,'2020/01/11 01:54:57:710',7,482.8125,159.401047,2
15308,'2020/01/11 01:54:57:720',7,481.9375,159.90625,2
15309,'2020/01/11 01:54:57:730',7,523.9375,72,2
15310,'2020/01/11 01:54:57:741',7,479.3125,159.90625,2
15311,'2020/01/11 01:54:57:751',7,478,160.411453,2
15312,'2020/01/11 01:54:57:762',7,478,160.411453,2
15313,'2020/01/11 01:54:57:772',7,476.6875,160.411453,2
15314,'2020/01/11 01:54:57:782',7,475.8125,160.411453,2
15315,'2020/01/11 01:54:57:793',7,473.1875,160.916672,2
15316,'2020/01/11 01:54:57:803',7,470.125,160.916672,2
15317,'2020/01/11 01:54:57:813',7,468.375,160.916672,2
15318,'2020/01/11 01:54:57:824',7,466.625,160.916672,2
15319,'2020/01/11 01:54:57:834',7,465.3125,160.916672,2
15320,'2020/01/11 01:54:57:845',7,463.125,160.916672,2
15321,'2020/01/11 01:54:57:855',7,461.8125,160.411453,2
15322,'2020/01/11 01:54:57:866',7,459.625,160.916672,2
15323,'2020/01/11 01:54:57:876',7,458.3125,160.411453,2
15324,'2020/01/11 01:54:57:887',7,456.5625,160.411453,2
15325,'2020/01/11 01:54:57:897',7,455.25,160.411453,2
15326,'2020/01/11 01:54:57:908',7,454.8125,159.90625,2
15327,'2020/01/11 01:54:57:918',7,453.5,160.411453,2
15328,'2020/01/11 01:54:57:929',7,452.625,160.411453,2
15329,'2020/01/11 01:54:57:939',7,450.4375,160.411453,2
15330,'2020/01/11 01:54:57:949',7,450.4375,160.411453,2
15331,'2020/01/11 01:54:57:960',7,449.125,160.411453,2
15332,'2020/01/11 01:54:57:970',7,448.25,159.90625,2
15333,'2020/01/11 01:54:57:981',7,445.625,160.411453,2
15334,'2020/01/11 01:54:57:991',7,444.75,160.411453,2
15335,'2020/01/11 01:54:58:001',7,444.75,160.411453,2
15336,'2020/01/11 01:54:58:012',7,443.875,160.916672,2
15337,'2020/01/11 01:54:58:022',7,442.5625,161.421875,2
15338,'2020/01/11 01:54:58:032',7,441.6875,161.421875,2
15339,'2020/01/11 01:54:58:043',7,440.8125,161.421875,2
15340,'2020/01/11 01:54:58:053',7,439.5,161.421875,2
15341,'2020/01/11 01:54:58:064',7,438.625,161.421875,2
15342,'2020/01/11 01:54:58:074',7,437.75,161.421875,2
15343,'2020/01/11 01:54:58:084',7,437.3125,161.421875,2
15344,'2020/01/11 01:54:58:095',7,436.875,161.421875,2
15345,'2020/01/11 01:54:58:105',7,436.4375,161.421875,2
15346,'2020/01/11 01:54:58:116',7,436,161.927078,2
15347,'2020/01/11 01:54:58:126',7,436,161.927078,2
15348,'2020/01/11 01:54:58:136',7,436,161.927078,2
15349,'2020/01/11 01:54:58:147',7,436,162.432297,2
15350,'2020/01/11 01:54:58:157',7,435.5625,161.927078,2
15351,'2020/01/11 01:54:58:167',7,436,161.927078,2
15352,'2020/01/11 01:54:58:178',7,436,162.432297,2
15353,'2020/01/11 01:54:58:188',7,436.4375,162.432297,2
15354,'2020/01/11 01:54:58:199',7,436.875,162.432297,2
15355,'2020/01/11 01:54:58:209',7,437.3125,162.432297,2
15356,'2020/01/11 01:54:58:220',7,437.75,162.432297,2
15357,'2020/01/11 01:54:58:230',7,438.1875,162.432297,2
15358,'2020/01/11 01:54:58:240',7,438.1875,162.432297,2
15359,'2020/01/11 01:54:58:251',7,439.0625,162.9375,2
15360,'2020/01/11 01:54:58:261',7,439.5,162.9375,2
